Ленинградская область;3 ;2 ;10 ;10 ;4 ;4 ;7 ;1 ;10 ;27 ;4 ;14 ;0 ;3 ;11 ;7 ;13 ;19 ;8 ;8 ;15 ;6 ;10 ;8 ;5 ;1 ;2 ;1 ;1 ;7 ;6 ;20 ;12 ;22 ;19 ;4 ;3 ;0 
Мурманская область;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 
Новгородская область;0 ;0 ;1 ;0 ;1 ;0 ;2 ;0 ;0 ;1 ;2 ;2 ;1 ;2 ;0 ;8 ;0 ;1 ;0 ;4 ;0 ;1 ;2 ;2 ;1 ;0 ;1 ;0 ;0 ;1 ;2 ;0 ;2 ;1 ;2 ;1 ;0 ;0 
Псковская область;0 ;0 ;0 ;0 ;0 ;0 ;0 ;6 ;0 ;0 ;4 ;6 ;0 ;0 ;0 ;3 ;2 ;2 ;2 ;0 ;2 ;1 ;2 ;1 ;1 ;2 ;0 ;0 ;0 ;2 ;0 ;1 ;1 ;3 ;3 ;2 ;0 ;3 
г. Санкт-Петербург;0 ;5 ;3 ;7 ;5 ;1 ;2 ;1 ;24 ;5 ;12 ;19 ;10 ;3 ;5 ;17 ;17 ;48 ;56 ;4 ;16 ;10 ;13 ;6 ;2 ;5 ;6 ;9 ;12 ;13 ;10 ;11 ;2 ;6 ;5 ;8 ;3 ;18 
Южный ФО;36 ;14 ;35 ;12 ;37 ;43 ;17 ;19 ;28 ;17 ;14 ;51 ;9 ;26 ;23 ;62 ;14 ;89 ;84 ;38 ;37 ;128 ;33 ;56 ;38 ;30 ;48 ;37 ;30 ;54 ;65 ;32 ;79 ;33 ;77 ;122 ;66 ;43 
Республика Адыгея (Адыгея);0 ;0 ;4 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;5 ;1 ;5 ;0 ;0 ;0 ;0 ;1 ;0 ;2 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;8 ;0 ;1 ;3 ;0 ;2 
Республика Калмыкия;0 ;0 ;1 ;0 ;0 ;0 ;0 ;0 ;0 ;2 ;0 ;0 ;0 ;0 ;0 ;0 ;1 ;2 ;1 ;0 ;1 ;0 ;2 ;0 ;0 ;0 ;1 ;1 ;2 ;1 ;0 ;0 ;0 ;0 ;1 ;0 ;0 ;0 
Республика Крым;4 ;1 ;1 ;1 ;1 ;9 ;1 ;0 ;0 ;4 ;4 ;2 ;2 ;0 ;1 ;12 ;2 ;7 ;3 ;0 ;3 ;2 ;9 ;0 ;3 ;1 ;0 ;4 ;3 ;2 ;0 ;8 ;11 ;7 ;5 ;20 ;6 ;1 
Краснодарский край;27 ;3 ;20 ;9 ;28 ;10 ;7 ;8 ;12 ;2 ;2 ;14 ;1 ;4 ;8 ;17 ;6 ;52 ;63 ;21 ;12 ;102 ;8 ;17 ;17 ;13 ;37 ;19 ;9 ;38 ;47 ;8 ;16 ;9 ;59 ;77 ;41 ;19 
Астраханская область;1 ;1 ;0 ;0 ;1 ;0 ;0 ;0 ;0 ;2 ;3 ;0 ;0 ;1 ;1 ;3 ;0 ;1 ;0 ;1 ;0 ;0 ;0 ;6 ;0 ;0 ;0 ;0 ;3 ;0 ;3 ;1 ;1 ;1 ;2 ;3 ;3 ;9 
Волгоградская область;0 ;1 ;1 ;0 ;3 ;17 ;1 ;0 ;7 ;1 ;0 ;5 ;0 ;12 ;8 ;21 ;3 ;8 ;3 ;2 ;11 ;12 ;11 ;20 ;7 ;2 ;0 ;1 ;4 ;9 ;3 ;4 ;9 ;7 ;2 ;11 ;13 ;3 
Ростовская область;4 ;8 ;8 ;2 ;2 ;7 ;8 ;10 ;8 ;6 ;4 ;20 ;5 ;4 ;5 ;9 ;2 ;19 ;13 ;14 ;5 ;12 ;3 ;13 ;10 ;13 ;9 ;9 ;9 ;4 ;12 ;8 ;34 ;9 ;7 ;8 ;3 ;9 
г. Севастополь;0 ;0 ;0 ;0 ;2 ;0 ;0 ;1 ;1 ;0 ;1 ;5 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;3 ;0 ;0 ;0 ;1 ;1 ;1 ;3 ;0 ;0 ;0 ;3 ;0 ;0 ;0 ;0 ;0 ;0 
Северо-Кавказский ФО;1 ;4 ;3 ;5 ;1 ;0 ;1 ;5 ;4 ;6 ;6 ;3 ;0 ;3 ;8 ;17 ;4 ;9 ;12 ;19 ;20 ;5 ;3 ;13 ;5 ;5 ;7 ;12 ;47 ;4 ;11 ;11 ;9 ;9 ;19 ;17 ;13 ;13 
Республика Дагестан;0 ;0 ;1 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;2 ;0 ;0 ;0 ;0 ;1 ;5 
Республика Ингушетия;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;1 ;0 ;0 ;0 ;0 ;0 ;1 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;1 ;0 ;0 
Кабардино-Балкарская Республика;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;1 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;2 ;0 ;0 ;0 ;1 ;0 ;0 ;1 ;1 ;1 ;0 ;0 ;2 ;0 ;0 ;1 ;1 ;2 ;0 ;0 
Карачаево-Черкесская Республика;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;2 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;1 ;0 ;0 ;0 ;0 ;2 ;1 ;1 ;1 
Республика Северная Осетия - Алания;0 ;3 ;0 ;1 ;0 ;0 ;0 ;0 ;1 ;0 ;1 ;1 ;0 ;0 ;0 ;7 ;0 ;1 ;2 ;3 ;15 ;0 ;1 ;0 ;1 ;0 ;2 ;5 ;0 ;0 ;1 ;5 ;0 ;0 ;3 ;5 ;0 ;1 
Чеченская Республика;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;1 ;0 ;0 ;0 ;0 ;1 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;3 ;0 ;0 ;1 ;0 ;6 ;0 
Ставропольский край;1 ;1 ;2 ;4 ;1 ;0 ;1 ;5 ;2 ;6 ;5 ;2 ;0 ;3 ;8 ;10 ;4 ;8 ;5 ;16 ;4 ;5 ;1 ;12 ;4 ;4 ;3 ;6 ;47 ;3 ;8 ;1 ;9 ;8 ;12 ;8 ;5 ;6 
Приволжский ФО;16 ;33 ;50 ;40 ;22 ;49 ;67 ;44 ;72 ;71 ;60 ;92 ;35 ;60 ;91 ;77 ;58 ;204 ;91 ;95 ;76 ;61 ;63 ;105 ;34 ;57 ;54 ;52 ;56 ;67 ;88 ;53 ;109 ;92 ;93 ;121 ;54 ;67 
Республика Башкортостан;7 ;2 ;5 ;1 ;1 ;6 ;6 ;4 ;7 ;4 ;8 ;8 ;3 ;4 ;18 ;16 ;2 ;6 ;10 ;11 ;12 ;7 ;3 ;8 ;7 ;1 ;1 ;7 ;7 ;23 ;23 ;8 ;32 ;24 ;13 ;14 ;8 ;14 
Республика Марий Эл;0 ;1 ;1 ;0 ;0 ;5 ;2 ;2 ;1 ;4 ;0 ;0 ;0 ;4 ;3 ;0 ;1 ;4 ;3 ;8 ;4 ;1 ;1 ;4 ;3 ;6 ;5 ;4 ;1 ;3 ;2 ;3 ;3 ;3 ;5 ;2 ;1 ;4 
Республика Мордовия;0 ;0 ;0 ;0 ;1 ;1 ;3 ;0 ;2 ;1 ;0 ;5 ;0 ;0 ;3 ;2 ;1 ;0 ;4 ;3 ;3 ;0 ;2 ;0 ;1 ;1 ;1 ;2 ;1 ;3 ;0 ;1 ;2 ;0 ;0 ;2 ;0 ;2 
Республика Татарстан (Татарстан);2 ;7 ;4 ;6 ;10 ;7 ;8 ;12 ;11 ;7 ;7 ;16 ;9 ;6 ;23 ;19 ;2 ;125 ;12 ;9 ;12 ;15 ;10 ;24 ;4 ;13 ;21 ;13 ;17 ;11 ;11 ;9 ;30 ;10 ;14 ;12 ;9 ;5 
